 ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
1,3.7739399999999996,4.977290000000001,4.9648,4.265759999999999,3.788760000000001,3.89977,5.492179999999999,4.399239999999999,4.449600000000001,5.68172,6.01529,5.82429,7.811240000000001,5.7570500000000004,5.55103,9.061130000000002,5.62158,5.83677,6.15974,4.301380000000001,6.2369,5.42741,3.61641,4.898000000000001,5.1080700000000006,4.07618,4.845840000000001,3.66909,4.266160000000001,5.33709,4.28402,4.76452
2,5.714720000000001,4.38243,4.18934,3.762620000000001,4.305390000000001,5.825729999999998,4.132860000000001,4.0006200000000005,5.31104,5.661650000000001,6.05126,6.41318,5.272609999999999,5.46673,9.290160000000002,5.3357800000000015,5.456689999999999,6.31009,5.47549,5.8681800000000015,5.129259999999999,4.3361399999999986,4.37302,5.817749999999999,4.93124,4.007849999999999,4.202329999999999,5.09641,5.709959999999999,4.1564499999999995,4.160359999999999,4.014909999999999
3,3.9283199999999994,4.232350000000001,3.885510000000001,5.325169999999998,4.06651,3.72529,3.6332799999999996,4.46323,5.1582099999999995,4.3959199999999985,4.22804,4.924490000000001,6.13782,5.8100700000000005,6.16305,5.502899999999998,6.740700000000001,8.447250000000002,5.4717199999999995,5.875509999999999,6.0976799999999995,5.699679999999998,5.9537900000000015,5.42314,4.12447,5.026179999999999,5.915039999999999,4.8853100000000005,4.227139999999999,4.181229999999999,5.489760000000001,5.023490000000001
4,4.20007,4.493109999999999,5.511920000000001,4.29596,4.29765,5.174369999999998,6.1583000000000006,5.79795,6.3804,5.570810000000001,5.95803,8.92173,5.299590000000001,5.813790000000001,6.022570000000001,5.18123,6.130910000000001,4.63428,3.9507399999999993,4.77135,5.180249999999999,4.551799999999998,4.2802999999999995,3.9714899999999997,5.11554,5.05855,4.321020000000001,4.38571,4.07894,5.95635,4.525939999999999,4.171600000000001
5,5.5711200000000005,6.18575,6.932280000000001,5.75596,5.750629999999999,9.512750000000002,5.142250000000001,5.72294,6.54385,5.755400000000001,5.58034,5.658859999999999,4.239860000000001,4.6812200000000015,5.5188799999999985,4.979199999999999,4.033939999999999,4.386299999999999,4.970880000000001,5.809729999999999,3.502179999999999,3.9962999999999993,3.9874200000000006,4.894809999999998,4.249750000000001,3.9107600000000002,3.6904500000000007,3.78344,5.75557,3.82258,4.0314700000000006,5.805379999999999
6,5.850739999999999,6.697330000000001,6.11503,6.010280000000001,8.90028,4.9994299999999985,5.480029999999999,5.960590000000001,4.7941899999999995,6.098459999999999,4.52959,3.6145099999999997,4.7421700000000016,5.066150000000001,4.0204699999999995,3.89675,4.07982,4.9541699999999995,5.729760000000001,3.8515599999999997,4.34947,4.432329999999999,5.677169999999999,4.38304,4.89156,4.1851,4.64506,5.934419999999998,4.242630000000001,4.08901,5.466629999999999,6.47452
7,4.2142100000000005,4.1923900000000005,3.881639999999999,4.3688899999999995,5.70247,3.5693200000000007,4.22731,5.927480000000002,5.0429900000000005,5.6642,6.959779999999999,5.412629999999999,6.40889,9.376569999999997,5.276969999999999,6.128390000000001,7.485660000000002,4.973680000000002,5.985810000000002,5.450060000000001,3.8756399999999998,5.086640000000001,5.338480000000001,4.648749999999999,4.02807,4.340069999999998,5.03798,4.37103,3.6684199999999993,4.26729,4.27785,4.972689999999999
8,4.20178,4.08646,4.983129999999999,5.72012,5.71987,6.029680000000001,5.327699999999999,5.7640899999999995,8.766070000000001,4.8573,5.73559,5.8951400000000005,5.18822,6.082030000000002,4.96639,4.06102,4.9714300000000025,5.57302,4.35724,4.59108,4.367290000000001,5.038709999999999,5.53352,4.205839999999999,4.728020000000001,4.23168,6.00137,4.64074,4.406460000000001,4.09161,4.83391,5.205740000000001
9,5.859359999999999,4.169100000000001,4.344860000000001,5.496739999999999,5.8670800000000005,5.4811700000000005,7.1665600000000005,5.473,6.136070000000001,8.200120000000002,5.68074,5.7710500000000025,5.8503099999999995,5.161780000000001,6.70232,4.70546,4.279520000000002,4.29114,4.852989999999999,4.227679999999999,4.707059999999999,3.9188099999999992,4.846119999999999,5.247879999999999,4.313269999999999,4.14919,4.19583,5.13442,4.812109999999999,4.881969999999999,4.0915300000000006,4.14701
10,5.92799,6.1371400000000005,5.463219999999999,6.102130000000001,9.518770000000002,4.909619999999999,5.59204,6.4718800000000005,5.391089999999999,5.52963,5.646199999999999,4.1898100000000005,4.812759999999999,5.960740000000002,4.87226,4.05796,4.524470000000001,5.357270000000002,6.073269999999998,4.29155,4.159420000000001,4.02289,5.8414899999999985,3.823799999999999,3.5900499999999993,4.1295,4.16222,5.125549999999999,4.439629999999999,3.747890000000001,4.6465000000000005,5.64351
